item_id,item_category,price,seller_id
1,electronics,36.63 ,1
2,electronics,4.80 ,2
3,electronics,33.63 ,3
4,electronics,8.06 ,4
5,electronics,5.45 ,5
6,electronics,73.46 ,6
7,electronics,23.94 ,7
8,electronics,98.44 ,8
9,electronics,45.88 ,9
10,electronics,98.13 ,10
11,electronics,0.55 ,11
12,electronics,87.39 ,12
13,electronics,58.99 ,13
14,electronics,96.36 ,14
15,electronics,36.07 ,15
16,electronics,0.29 ,16
17,electronics,67.58 ,17
18,electronics,56.18 ,18
19,electronics,52.06 ,19
20,electronics,17.87 ,20
21,electronics,48.44 ,21
22,electronics,72.41 ,22
23,electronics,79.54 ,23
24,electronics,91.12 ,24
25,clothes,17.12 ,25
26,clothes,39.34 ,26
27,clothes,67.31 ,27
28,clothes,28.92 ,28
29,clothes,27.16 ,29
30,clothes,31.82 ,30
31,clothes,62.03 ,31
32,clothes,33.55 ,32
33,clothes,72.67 ,33
34,clothes,33.29 ,34
35,clothes,36.00 ,35
36,clothes,97.92 ,36
37,clothes,89.37 ,37
38,clothes,65.65 ,38
39,clothes,81.25 ,39
40,clothes,20.99 ,40
41,clothes,35.15 ,41
42,clothes,15.96 ,42
43,clothes,53.51 ,43
44,clothes,86.57 ,44
45,clothes,91.07 ,45
46,clothes,2.25 ,46
47,clothes,8.55 ,47
48,clothes,27.82 ,48
49,clothes,20.73 ,49
50,clothes,47.66 ,50
51,clothes,87.29 ,51
52,clothes,97.63 ,52
53,clothes,57.76 ,53
54,clothes,36.08 ,54
55,clothes,18.17 ,55
56,clothes,9.48 ,56
57,clothes,57.26 ,57
58,clothes,22.14 ,58
59,clothes,90.07 ,59
60,clothes,81.34 ,60
61,clothes,72.61 ,61
62,clothes,59.10 ,62
63,clothes,0.76 ,63
64,clothes,33.83 ,64
65,clothes,9.91 ,65
66,clothes,41.65 ,66
67,clothes,15.13 ,67
68,clothes,92.51 ,68
69,auto,5.82 ,69
70,auto,50.14 ,70
71,auto,76.74 ,71
72,auto,53.35 ,72
73,auto,10.53 ,73
74,auto,10.64 ,74
75,auto,4.86 ,75
76,auto,24.10 ,76
77,auto,7.84 ,77
78,auto,52.34 ,78
79,auto,60.64 ,79
80,auto,86.14 ,80
81,auto,14.21 ,81
82,auto,38.11 ,82
83,auto,81.86 ,83
84,auto,74.28 ,84
85,auto,75.94 ,85
86,auto,67.16 ,86
87,home,50.08 ,87
88,home,39.81 ,88
89,home,55.08 ,89
90,home,93.20 ,90
91,home,33.62 ,91
92,home,15.93 ,92
93,home,78.68 ,93
94,home,30.21 ,94
95,home,88.16 ,95
96,home,64.56 ,96
97,home,8.60 ,97
98,home,40.32 ,98
99,home,92.79 ,99
100,home,99.02 ,100
101,outdoor,66.74 ,1
102,outdoor,74.97 ,1
103,outdoor,45.80 ,1
104,outdoor,60.80 ,1
105,outdoor,63.78 ,1
106,outdoor,80.77 ,1
107,outdoor,50.11 ,1
108,outdoor,0.58 ,1
109,outdoor,36.93 ,1
110,outdoor,36.05 ,1
111,outdoor,21.45 ,1
112,outdoor,51.29 ,1
113,outdoor,72.17 ,1
